,title,area,numberOfRooms,price,town,district
38,HEYBELİADA AYLIK YILLIK SEZONLUK EŞYALI KİRALIK DAİRE,100,2+1,10.000,Heybeliada,
39,Planet'tn Çankaya Cddesnde Havuzlu Deniz Manzralı Eşyalı Yazlık,140,3+1,145.000,Büyükada,Nizam Mh.
40,KINALIADA DA SEZONLUK FULL EŞYALI KOMPLE YENİLENMİS GENİŞ BALKON,80,2+1,55.000,Kınalıada,Kınalıada Mh.
41,Büyükada LİDO TERRACEta 2+1 KİRALIK Havuzlu D.Manz.Yalı Dairesi,110,2+1,40.000,Büyükada,Nizam Mh.
42,ALBAYRAKTAN HEYBELİADA SAHİLDE 3+1 EŞYALI SEZONLUK KİRALIK,100,3+1,62.000,Heybeliada,
43,"Planet'ten Orman Manzaralı 3+1 Ferah,Eşyalı Kiralık Daire",135,3+1,8.500,Büyükada,Nizam Mh.
44,HEYBELİADA SAHİBİNDEN KİRALIK SEZONLUK 2+1 DAİRE,115,2+1,69.000,Heybeliada,
45,Planet'ten Bahçeli 3+1 Müstakil Sezonluk Daire.,165,3+1,70.000,Büyükada,Maden Mh.
46,"Burgazada 3+1 büyük, bahçeli, keyifli- sezonluk veya aylık",160,3+1,35.000,Burgazada,Burgazada Mh.
47,KINALIADA'DA 2+1 GİRİŞ KAT EŞYALI SEZONLUK KİRALIK DAİRE,72,2+1,70.000,Kınalıada,Kınalıada Mh.
48,BÜYÜKADA'DA MADEN MAHALLESİNDE 2+1 SEZONLUK KİRALIK,95,2+1,45.000,Büyükada,Maden Mh.
49,MERKEZDE KİRALIK 3+2 DUBLEKS DAİRE,150,3+2,10.000,Büyükada,Nizam Mh.
50,Büyükada Maden de Deniz Manzaralı Sezonluk Kiralık Daire,160,3+1,25.000,Büyükada,Maden Mh.
51,HEYBELİADA İskeleye 2dk. yürüme mesafesinde 1+1 Yazlık Kiralık,55,1+1,12.000,Heybeliada,
52,KINALIADA'DA EŞYALI DENİZ MANZARALI MERKEZDE AYLIK KİRALIK DAİRE,90,2+1,20.000,Kınalıada,Kınalıada Mh.
53,Burgazadada sezonluk daire,150,2+1,55.000,Burgazada,Burgazada Mh.
54,kiralık daire heybeliada,60,1+1,32.000,Heybeliada,
55,AKASYA CADDESİNDE KİRALİK SEZONLUK EŞYALI DUBLEKS 3+1 DAİRE,200,3+1,70.000,Kınalıada,Kınalıada Mh.
56,Sezonluk kiralık daire büyükada,90,2+1,39.900,Büyükada,Maden Mh.
57,BÜYÜKADADA DENİZ MANZARALI SEZONLUK 2+1 BAHÇE KATI KİRALIK DAİRE,105,2+1,60.000,Büyükada,Maden Mh.
58,BÜYÜKADA'DA FULL EŞYALI SEZONLUK KİRALIK 2+1 DAİRE,110,2+1,70.000,Büyükada,Nizam Mh.
59,heybeliada sezonluk kiralik daire,300,2+1,45.000,Heybeliada,
60,SEZONLUK KİRALIK,150,3+1,60.000,Heybeliada,
61,KINALIADA AKASYA CADDESİNDE MASRAFSİZ TERTEMİZ 2+1 ARAKAT DAİRE,110,2+1,84.000,Kınalıada,Kınalıada Mh.
62,Büyükada Kumsalda Komple Eşyalı Daire,100,3+1,40.000,Büyükada,Maden Mh.
63,SEZONLUK EŞYALI KİRALIK! KINALIADA AKASYA CADDESİ' NDE 2+1 DAİRE,85,2+1,70.000,Kınalıada,Kınalıada Mh.
64,BÜYÜKADA'DA SEZONLUK EŞYALI KİRALIK DAİRE,100,2+1,45.000,Büyükada,Maden Mh.
65,HEYBELİADA 2+1 EŞYALI SEZONLUK KİRALIK DAİRE,90,2+1,45.000,Heybeliada,
66,Sezonluk Yazlık KİRALIK 1+1 harika teraslı deniz manzaralı,65,1+1,35.000,Büyükada,Nizam Mh.
67,SAHİBİNDEN BÜYÜKADA'DA DENİZ VE ORMAN MANZARALI SEZONLUK,120,2+1,65.000,Büyükada,Nizam Mh.
68,Büyükada'da Sezonluk Geniş Çift Balkon Çarşıda İskeleye 200 m.,110,3+1,43.000,Büyükada,Maden Mh.
69,Büyükada Emlak'tan Deniz Manzaralı 3+1 Bahçe Katı SEZONLUK,125,3+1,70.000,Büyükada,Nizam Mh.
70,SEZONLUK KİRALIK SÜPER LÜX HAVUZ VE DENİZ MANZARALI DAİRE,140,3+1,250.000,Büyükada,Maden Mh.
71,HEYBELİADA'DA SEZONLUK DENİZ MANZARALI KİRALIK DAİRE,105,2+1,60.000,Heybeliada,
72,"Kınalıada, Narçiçeği Sokakta Deniz Manzaralı Kiralık 2+1 Daire",120,2+1,90.000,Kınalıada,Kınalıada Mh.
73,"Sahibinden kiralık, Büyükada'da iskeleye yakın daire",85,2+1,6.500,Büyükada,Maden Mh.
74,Kınalıada sahibinden eşyalı kiralık,50,1+1,10.000,Kınalıada,Kınalıada Mh.
75,BURGAZADA'DA DENİZE SIFIR SEZONLUK EŞYALI KİRALIK DAİRE,60,1+1,65.000,Burgazada,Burgazada Mh.
76,DEMET DINO DAN KIRALIK BAHCE KATI SEZONLUK,75,2+1,65.000,Burgazada,Burgazada Mh.
77,KINALIADA NARÇİÇEĞİ'NDE KOMBİLİ SENELİK KİRASI 65 BİN TL,60,1+1,65.000,Kınalıada,Kınalıada Mh.
78,HEYBELİADA'DA EŞYALI SEZONLUK KİRALIK DAİRE,70,2+1,40.000,Heybeliada,
79,Burgazada'da sezonluk kiralık daira,60,1+1,45.000,Burgazada,Burgazada Mh.
80,DEMET DINO DAN KIRALIK BAHCE KATI SEZONLUK,85,2+1,50.000,Burgazada,Burgazada Mh.
81,Planet'ten 3+1 Deniz Manzaralı Geniş Ferah Sezonluk Daire.,175,3+1,55.000,Büyükada,Nizam Mh.
82,"BÜYÜKADA'DA SEZONLUK,Kİ­RALIK,BAHÇE KATI DAİRE",90,2+1,50.000,Büyükada,Maden Mh.
83,Büyükda da yazlık kiralık daire sezonluk,110,3+1,38.000,Büyükada,Maden Mh.
84,HEYBELİADA DA SEZONLUK KİRALIK DAİRE,70,2+1,40.000,Heybeliada,
85,"Tepeköyde Full Eşyalı, 2+1 Bahçe katı Daire",110,2+1,15.000,Büyükada,Maden Mh.
86,"BAHÇEŞEHİR GÖLET YANI SOYAK KONFORİA SİTESİ 2+1,87M2, 4.500.-TL",87,2+1,4.500,Hadımköy,(Boyalık)Deliklikaya Mah.
87,MİAPORT ARNAVUTKÖY PROJESİNDE SİZDE YERİNİZİ ALIN,107,2+1,6.500,Haraççı,Haraççı Mh.
88,HADIMKÖY SOYAK KONFORİA SİTESİ 1+1 KİRALIK 3.300.-TL DAİRE,59,1+1,3.300,Hadımköy,(Boyalık)Deliklikaya Mah.
89,sahibinden memura kiralık merkez camisinin yakini,80,2+1,3.500,Arnavutköy,Arnavutköy Merkez Mh.
90,DRS GAYRİMENKUL 2+1 KİRALIK DAİRE,85,2+1,3.600,Arnavutköy,İslambey Mh.
91,Anadolu Mahallesi'nde kiralık daire,95,2+1,3.650,Arnavutköy,Anadolu Mah.
92,avlu34 arkası kiralık ters dubleks daire,115,2+1,3.500,Arnavutköy,Arnavutköy Merkez Mh.
93,TOKİ AKPINAR KONUTLARI 3+1 120 m2 Sahibinden,120,3+1,4.500,Arnavutköy,Hadımköy Mh.
94,TAŞOLUK SİTE İÇİ EŞYALI KİRALIK DAİRE,135,3+1,3.500,Taşoluk,Adnan Menderes Mah.
95,TEYAŞ EMLAK'TAN SKYPARK 1DE KİRALIK 3+1 DUBLEX (kod:C33),140,3+1,10.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
96,BAHÇEŞEHİR SOYAK KONFORİA KİRALIK 2+1 DAİRE,100,2+1,4.600,Hadımköy,(Boyalık)Deliklikaya Mah.
97,2+1 İSTANBUL HAVALİMANINA 5 DAKİKA BEKARLARA UYGUN,120,2+1,4.000,Köyler,Tayakadın Mh.
98,Arnavutköy Yeni Yaşam Konakları Site İçinde 3+1 Ara Kat Daire,130,3+1,6.750,Arnavutköy,İslambey Mh.
99,ARNAVUTKÖY TAŞOLUK DA 1+1 EŞYALI KİRALIK DAİRE,88,1+1,5.000,Taşoluk,Mehmet Akif Ersoy Mah.
100,ARNAVUTKÖY YENİ YAŞAM KONAKLARINDA SİTE İÇİNDE KİRALIK 3+1 DAİRE,125,3+1,6.750,Arnavutköy,İslambey Mh.
101,"KİRALIK ARA KAT, KÖŞE,İÇİ YAPILI TEMİZ DAİRE",84,2+1,3.400,Hadımköy,(Boyalık)Deliklikaya Mah.
102,ARNAVUTKÖY MERKEZDE KİRALIK 3+1 DAİRE,135,3+1,3.500,Arnavutköy,Arnavutköy Merkez Mh.
103,TAŞOLUK MAH. 2+1 MEMURA KİRALIK BAHÇE KAT DAİRE,105,2+1,3.500,Taşoluk,Taşoluk Mh.
104,Hadımköy TOKİ 3+1 daire,120,3+1,5.000,Arnavutköy,Hadımköy Mh.
105,3.ETAP KİPTAŞ KONUTLARI 2+1KİRALIK 3.750-TL DAİRE,84,2+1,3.750,Hadımköy,(Boyalık)Deliklikaya Mah.
106,NEO BOLLUCA 1 SİTESİN'DE KİRALIK 1+1 ARA KAT DAİRE (TEK YETKİ),85,1+1,5.200,Bolluca,
107,SETAP'TAN ARNAVUTKÖY ANADOLU MAHALLESİNDE ARAKAT 2+1 DAİRE,105,2+1,4.000,Arnavutköy,Anadolu Mah.
108,BALKAYALARDAN BOLLUCADA KİRALIK ARAKAT DAİRE 3.600 TL,125,2+1,3.600,Bolluca,
109,TEYAŞ EMLAK'TAN SKYPARK 1DE KIRALIK 2+1 BAHÇE KATI (kod:A1),85,2+1,6.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
110,BANKACILAR KOOPERATİFİ YEŞİL BAHÇEKENT APARTMANI KİRALIK 3+1,174,3+1,5.261,Hadımköy,(Boyalık)Deliklikaya Mah.
111,kiptaş hadımköy 3. etap konutlarında eşyalı kiralık 2+1 daire,85,2+1,4.300,Hadımköy,(Boyalık)Deliklikaya Mah.
112,ARNAVUTKÖY ANADOLU MAHALLESİNDE MERKEZİ KONUMDA EŞYALI 2+1 DAİRE,106,2+1,6.000,Arnavutköy,Anadolu Mah.
113,"AYLIK EŞYALI BAHÇEŞEHİR YANI HADIMKÖY DELİKLİKAYA 1+1,8.000.-TL",82,2+1,8.000,Hadımköy,(Boyalık)Deliklikaya Mah.
114,Sahibinden,86,2+1,3.500,Hadımköy,(Boyalık)Deliklikaya Mah.
115,KiRAliK. ful Sıfır eşyali daire,95,2+1,4.750,Arnavutköy,Anadolu Mah.
116,Sulyapı Gayrimenkulden Butik Sitede Kiralık 2+1 Lüks 0 Daire,85,2+1,4.350,Taşoluk,Taşoluk Mh.
117,Boğazköy de 125 m2 2+1 kiralık daire,125,2+1,4.000,Boğazköy,Boğazköy İstiklal Mh.
118,HADIMKÖY MAH. AKPINAR KONULARI 2+1 KİRALIK DAİRE,95,2+1,4.000,Arnavutköy,Hadımköy Mh.
119,ARNAVUTKÖY KİRALIK FULL EŞYALI 1+1 DAİRE,55,1+1,4.000,Arnavutköy,Mustafa Kemal Paşa Mh.
120,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE TURYAP REDOX EMLAK,75,2+1,3.500,Hadımköy,(Boyalık)Ömerli Mh.
121,Arnavutköy Anadolu Mahallesi 2+1 Eşyalı Kullanışlı Daire,95,2+1,5.250,Arnavutköy,Anadolu Mah.
122,İSTANBUL HAVALİMANI YANI BAŞINDA KİRALIK 2+1 YENİ SİTE,85,2+1,6.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
123,H-MAK GROUPTAN EŞYALI KİRALIK DAİRE,75,1+1,4.750,Arnavutköy,Anadolu Mah.
124,AVLU AVM YAKIN KONUMDA KİRALIK BAHÇE DUBLEKS,120,2+1,3.500,Arnavutköy,Mustafa Kemal Paşa Mh.
125,ARNAVUTKÖY MERKEZDE KİRALIK DAİRE,95,2+1,4.000,Arnavutköy,Arnavutköy Merkez Mh.
126,TEYAŞ EMLAK'TAN SKYPARK 1DE KİRALIK 2+1 dublex (kod:A53),120,2+1,7.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
127,Arnavutköy Taşoluk ta Kiralık 1+1 Çatı Katı,70,1+1,3.700,Taşoluk,Taşoluk Mh.
128,"TEMİZ DAİRE HADIMKÖY DELİKLİKAYA KİPTAŞ 3, 2+1, 84M2, 3.750.-TL",84,2+1,3.750,Hadımköy,(Boyalık)Deliklikaya Mah.
129,Arnavutköy Anadolu Mahallesi'nde Memura 2+1 Kiralık 3 kat Daire,90,2+1,4.100,Arnavutköy,Anadolu Mah.
130,ARNAVUTKÖY TAŞOLUKTA 2+1 100M2 KİRALIK DAİRE,100,2+1,3.000,Taşoluk,Taşoluk Mh.
131,Toki Akpınar konutları K blok kiralık daire,130,3+1,5.000,Arnavutköy,Hadımköy Mh.
132,Arnavutköy Yunus Emre mahallesi nde kiralık daire yüksek giriş,90,2+1,3.470,Arnavutköy,Yunus Emre Mah.
133,ARNAVUTKÖY MERKEZ MH DE AVM YAKINI KİRALİK YUKSEK GİRİŞ DAİRE,105,2+1,3.100,Arnavutköy,Arnavutköy Merkez Mh.
134,KARLIBAYIR KAYMAKAMLIĞIN TAM KARŞISINDA KİRALIK DAİRE,90,2+1,3.500,Haraççı,Karlıbayır Mh.
135,Kiralık 100 M2 2+1,100,2+1,3.500,Arnavutköy,Yunus Emre Mah.
136,YENİ FUUL EŞYALI VEYA EŞYASIZ DAİRE Kiralık,110,2+1,6.000,Arnavutköy,İslambey Mh.
137,MEMUR AİLEYE KİRALIK SALI PAZARI CD ÜZERİ 2+1 100m2 ARAKAT,105,2+1,4.000,Arnavutköy,Anadolu Mah.
138,TEYAŞ EMLAK'TAN SKYPARK 1DE KİRALIK 1+1 BAHÇELİ (kod:B3),63,1+1,4.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
139,kiralık daire,100,2+1,3.000,Arnavutköy,Nenehatun Mah.
140,4+1 TEMİZ DUBLEX UYGUN FİYATA TAŞOLUK FATİH MAHALLESİNDE,170,4+1,3.500,Taşoluk,Fatih Mah.
141,Arnavutköy Taşoluk ta Kiralık 2+1 Arakat Daire,85,2+1,4.100,Taşoluk,Taşoluk Mh.
142,DAF YAPIDAN 2+1 EŞYALI KİRALIK DAİRE,145,2+1,5.000,Bolluca,Hicret Mah.
143,Kiralık 2+1 Daire,85,2+0,3.000,Arnavutköy,Yunus Emre Mah.
144,SAHİBİNDEN TAŞOLUK MAH. KİRALIK LÜKS DAİRE 4+3 BÜYÜK DUBLEKS,270,4+3,10.000,Taşoluk,Taşoluk Mh.
145,Taşoluk Mehmet Akif Ersoy mah ki kiralık 2+1 85 m2.kat 0 daire,95,2+1,3.200,Taşoluk,Mehmet Akif Ersoy Mah.
146,Sahibinden Arnavutköy Merkezde Memura Kiralık,100,2+1,3.500,Arnavutköy,Anadolu Mah.
147,DAF YAPIDAN BEKARA KİRALIK DAİRE,120,2+1,3.000,Arnavutköy,Mustafa Kemal Paşa Mh.
148,Hastane Mahallesi Kiralık Ev.,90,4+1,5.000,Hadımköy,(Boyalık)Hastane Mah.
149,ARACISIZ KOMİSYONSUZ,160,3+1,5.000,Köyler,Yassıören Mh.
150,HADIMKÖY MAH KİRALIK ARAKAT 2+1 DAİRE!!! (Memur şartlı ),110,2+1,3.500,Arnavutköy,Hadımköy Mh.
151,memura kiralık 2+1 sıfır daire,110,2+1,5.150,Arnavutköy,Anadolu Mah.
152,ARMAVUTKÖY MERKEZDE MUHTEŞEM AVLU 34 YANI DUBLEX DAİRE,160,3+2,5.700,Arnavutköy,Arnavutköy Merkez Mh.
153,BAHÇEŞEHİR SOYAK KONFORİA KİRALIK 2+1 DAİRE,99,2+1,4.500,Hadımköy,(Boyalık)Deliklikaya Mah.
154,TEYAŞ EMLAK'TAN SKYPARK 1DE KİRALIK 3+1 DUBLEX (kod:A50),135,3+1,10.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
155,ASANSÖRLÜ YENİ BİNADA KİRALİK ÇATİ KATI,110,2+1,4.000,Arnavutköy,Anadolu Mah.
156,"SIFIR DAİRE HADIMKÖY DELİKLİKAYA KİPTAŞ 3, 2+1, 84M2, 3.750.-TL",84,2+1,3.750,Hadımköy,(Boyalık)Deliklikaya Mah.
157,HADIMKÖY KİPTAŞ2.ETAP ÖMERLİ KİRALIK 3+1 BAHÇE KATI TURYAP REDOX,125,3+1,5.000,Hadımköy,(Boyalık)Ömerli Mh.
158,FUL EŞYALI AYLIK KİRALIK DAİRE (LÜTFEN AÇIKLAMAYI OKUYUNUZ),60,1+0,3.500,Arnavutköy,Mustafa Kemal Paşa Mh.
159,Hadımköy Toki Temiz daire içi yapılı,80,2+1,3.500,Hadımköy,(Boyalık)Deliklikaya Mah.
160,Argahomes emlaktan kiralık,140,3+1,3.000,Boğazköy,Boğazköy İstiklal Mh.
161,HADIMKÖY 2. ETAP ÖMERLİ KİPTAŞ'DA 95 M2 KİRALIK 2+1 DAİRE,95,2+1,4.500,Hadımköy,(Boyalık)Ömerli Mh.
162,ARNAVUTKÖY MERKEZ MAH DE KİRALIK LÜX 2+1 DAİRE,95,2+1,4.000,Arnavutköy,Arnavutköy Merkez Mh.
163,KİRALIK SAHİBİNDEN DAİRE,85,2+1,3.000,Arnavutköy,Anadolu Mah.
164,HADIMKÖY TOKİ'DE KİRALIK DAİRE,90,2+1,3.500,Köyler,Yassıören Mh.
165,ROMED GAYRİMENKULDAN KİRALIK 2+1DAİRE,90,2+1,3.000,Arnavutköy,İslambey Mh.
166,Miaport 1.Etap Arnavutköy'de projenin en iyi konumunda 1+1,80,1+1,5.500,Haraççı,Haraççı Mh.
167,FOMA EMLAK'dan ANADOLU MAHALLESİNDE FUL EŞYALI KİRALK ÇATI KATI,70,1+1,3.200,Arnavutköy,Anadolu Mah.
168,FOMA EMLAK'dan ARNAVUTKÖY MERKEZDE KİRALIK 100M2 2+1 ÇATI DAİRE.,105,2+1,4.000,Arnavutköy,Arnavutköy Merkez Mh.
169,TAŞOLUK FATİH MAHALLESİNDE 4+1 DUBLEKS ASANSÖRSÜZ,160,4+1,3.510,Taşoluk,Fatih Mah.
170,ARNAVUTKÖY KARLIBAYIR MAH. KİRALIK DAİRE,95,2+1,4.350,Haraççı,Karlıbayır Mh.
171,ARNAVUTKÖY MERKEZI KONUMDA 4250 ESYALİ KIRALIK 1+1 CATI DAİRE,80,1+1,4.250,Arnavutköy,Anadolu Mah.
172,SOYAK KONFORİA KİRALIK BALKONLU 2+1 DAİRE,96,2+1,4.500,Hadımköy,(Boyalık)Deliklikaya Mah.
173,BALKAYALARDAN BOLLUCADA FUL EŞYALI 1+1 KİRALIK Y.GİRİŞ 4000 TL,75,1+1,4.000,Bolluca,
174,ARNAVUTKÖYDE KİRALIK DUBLEX,160,4+1,5.000,Arnavutköy,Anadolu Mah.
175,DELİKLİKAYA 3.ETAP KİPTAŞ KONUTLARI 2+1KİRALIK 3.750-TL DAİRE,84,2+1,3.750,Hadımköy,(Boyalık)Deliklikaya Mah.
176,TEYAŞ EMLAK'TAN SKYPARK 1DE KİRALIK 1+1 BAHCELI (kod:D3),63,1+1,4.250,Taşoluk,Mareşal Fevzi Çakmak Mh.
177,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE TURYAP REDOX EMLAK,95,2+1,4.200,Hadımköy,(Boyalık)Ömerli Mh.
178,ARNAVUTKÖY MERKEZDE 2+1 90 M2 2.KAT ASANSÖRLÜ KİTALIK DAİRE...,90,2+1,3.500,Arnavutköy,Anadolu Mah.
179,BOĞAZİÇİ EMLAK ARNAVUTKÖY İSLAMBEY'DE SIFIR 3+2 DUBLKES DAİRE,165,3+2,6.500,Arnavutköy,İslambey Mh.
180,Argahomes Emlaktan 3+1 Kiralık Yaşam konaklarında,122,3+1,7.000,Arnavutköy,İslambey Mh.
181,ARNAVUTKÖY MERKEZ MH DE AVM ARKASİ KİRALIK DAİRE,95,2+1,4.000,Arnavutköy,Arnavutköy Merkez Mh.
182,Bolluca Mavigöl Mahallesinde Sahibinden Kiralık,120,2+1,3.500,Bolluca,Mavigöl Mh.
183,ARNAVUTKÖY İSLAMBEY MAH. KİRALIK 2+1 DAİRE,80,2+1,3.750,Arnavutköy,İslambey Mh.
184,HADIMKÖY TOKİ AKPINAR KONUTLARINDA 75 M2 2+1 KİRALIK DAİRE,85,2+1,3.500,Arnavutköy,Hadımköy Mh.
185,DRS GAYRİMENKUL 2+1 DAİRE,95,2+1,3.000,Arnavutköy,İslambey Mh.
186,Soyak Konforia da Bahçeli Kiralık 3+1 Daire,125,3+1,8.000,Hadımköy,(Boyalık)Deliklikaya Mah.
187,TEKBAŞLAR'DAN MAVİGÖLDE KİRALIK 2+1 AMERİKAN MUTFAKLI DAİRE,80,2+1,3.300,Bolluca,Mavigöl Mh.
188,ARNAVUTKÖY MAVİÇAM SİTESİNDE KİRALIK 4+1 DUBLEX DAİRE,200,4+1,10.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
189,ARNAVUTKÖY BOĞAZKÖYDE KİRALIK 2+1 100M2 1.KAT DAİRE,100,2+1,4.000,Arnavutköy,Yunus Emre Mah.
190,TEYAŞ EMLAK'TAN SKYPARK 1DE KİRALIK 2+1KÖŞE (kod:B23),85,2+1,6.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
191,"EŞYALI ARMİNA ARKASI SOYAK KONFORİA PROJESİ 2+1,100m2,5.000-TL",100,2+1,5.000,Hadımköy,(Boyalık)Deliklikaya Mah.
192,ARNAVUTKÖY MERKEZDE 2+1 ARA KAT KİRALIK DAİRE SIFIR BİNA,100,2+1,6.000,Arnavutköy,Anadolu Mah.
193,Kiptaş Hadımköy 3.etap Konutlarında Kiralık GÜNEY CEPHE,85,2+1,3.500,Hadımköy,(Boyalık)Deliklikaya Mah.
194,HADIMKÖY DELİKLİKAYA KİPTAŞ 3'TE KİRALIK DAİRE TURYAP'TAN,84,2+1,3.500,Hadımköy,(Boyalık)Deliklikaya Mah.
195,ARNAVUTKÖY SKYPARK 1 85 m2 2+1 GÜVENLİK&OTOPARKLI KİRALIK DAİRE,85,2+1,5.800,Taşoluk,Mareşal Fevzi Çakmak Mh.
196,SOYAK KONFORİA BAHÇEŞEHİR KİRALIK 1+1 ANKASTRELİ BALKONLU,69,1+1,3.200,Hadımköy,(Boyalık)Deliklikaya Mah.
197,sahibinden kiralık,90,2+1,4.000,Arnavutköy,Anadolu Mah.
198,Hadımköy Kiptaş 1.Etap Eşyalı,90,2+1,5.000,Arnavutköy,Hadımköy Mh.
199,TEYAŞ EMLAK'TAN SAKYPARK1 DE KİRALIK 2+1 BAHÇE KATI (kod:A5),85,2+1,6.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
200,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE REDOX TURYAP EMLAK,95,2+1,4.500,Hadımköy,(Boyalık)Ömerli Mh.
